Close,KMO10,KMO20,KMO40,larger_than_KMO10?,shares10,larger_than_KMO20?,shares20,larger_than_KMO40?,shares40
25.11,24.561,23.929,21.991875,1.0,160.0,1.0,400.0,1.0,400.0
24.87,24.609,23.981,22.158375,1.0,160.0,1.0,400.0,1.0,400.0
24.75,24.63,24.0395,22.320875,1.0,160.0,1.0,400.0,1.0,400.0
24.32,24.613999999999997,24.0995,22.472375000000003,0.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.2,24.554,24.15,22.629875,0.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.46,24.543,24.205000000000002,22.765875,0.0,1288.4985932304544,1.0,400.0,1.0,400.0
23.93,24.517999999999997,24.2525,22.851875,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.26,24.520000000000003,24.313,22.958624999999998,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.11,24.494,24.365000000000002,23.058374999999998,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
23.91,24.392,24.3925,23.150875000000003,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
23.72,24.253,24.407000000000004,23.240625,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
23.82,24.148000000000003,24.3785,23.332625,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.02,24.075,24.3525,23.434625,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.92,24.135,24.3745,23.557125,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.76,24.191,24.3725,23.672125,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
25.14,24.259,24.401,23.790375,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.55,24.321,24.4195,23.884375,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.28,24.323,24.4215,23.958374999999997,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.44,24.356,24.425,24.03125,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.47,24.412,24.402,24.095750000000002,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.49,24.489,24.371000000000002,24.15,1.0,1288.4985932304544,1.0,400.0,1.0,400.0
24.3,24.537,24.3425,24.16175,0.0,1288.4985932304544,0.0,400.0,1.0,400.0
24.39,24.574,24.3245,24.182,0.0,1288.4985932304544,1.0,160.0,1.0,400.0
24.6,24.541999999999998,24.338500000000003,24.219,1.0,1288.4985932304544,1.0,160.0,1.0,400.0
24.49,24.515,24.353,24.2515,0.0,1288.4985932304544,1.0,160.0,1.0,400.0
24.55,24.456,24.357499999999998,24.28125,1.0,515.3994372921818,1.0,160.0,1.0,400.0
24.75,24.476000000000003,24.3985,24.325499999999998,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.1,24.558,24.4405,24.37675,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.14,24.628,24.491999999999997,24.4285,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.36,24.717000000000002,24.564500000000002,24.4785,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.2,24.788,24.6385,24.522750000000002,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.3,24.887999999999998,24.7125,24.5455,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.71,25.020000000000003,24.797,24.57475,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.56,25.116000000000003,24.829,24.60175,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.63,25.23,24.8725,24.6225,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.78,25.353,24.904500000000002,24.65275,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.76,25.454,24.965,24.69225,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.52,25.496000000000002,25.026999999999997,24.72425,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.44,25.526000000000003,25.076999999999998,24.750999999999998,0.0,515.3994372921818,1.0,160.0,1.0,400.0
25.61,25.551,25.134,24.768,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.53,25.584,25.186,24.7785,0.0,515.3994372921818,1.0,160.0,1.0,400.0
25.79,25.633,25.2605,24.8015,1.0,515.3994372921818,1.0,160.0,1.0,400.0
25.59,25.621,25.320500000000003,24.822499999999998,0.0,515.3994372921818,1.0,160.0,1.0,400.0
25.44,25.608999999999998,25.3625,24.8505,0.0,515.3994372921818,1.0,160.0,1.0,400.0
25.43,25.589,25.4095,24.88125,0.0,515.3994372921818,1.0,160.0,1.0,400.0
25.91,25.601999999999997,25.4775,24.9175,1.0,515.3994372921818,1.0,160.0,1.0,400.0
26.69,25.695,25.5745,24.9865,1.0,515.3994372921818,1.0,160.0,1.0,400.0
26.94,25.837,25.666500000000003,25.053500000000003,1.0,515.3994372921818,1.0,160.0,1.0,400.0
26.89,25.982,25.754,25.123,1.0,515.3994372921818,1.0,160.0,1.0,400.0
26.82,26.103,25.826999999999998,25.195749999999997,1.0,515.3994372921818,1.0,160.0,1.0,400.0
26.78,26.228,25.906,25.272250000000003,1.0,515.3994372921818,1.0,160.0,1.0,400.0
26.79,26.327999999999996,25.9805,25.3465,1.0,515.3994372921818,1.0,160.0,1.0,400.0
26.58,26.427000000000003,26.024,25.410500000000003,1.0,515.3994372921818,1.0,160.0,1.0,400.0
26.38,26.521000000000004,26.065000000000005,25.447000000000003,0.0,515.3994372921818,1.0,160.0,1.0,400.0
26.04,26.582,26.085500000000003,25.479,0.0,515.3994372921818,0.0,160.0,1.0,400.0
26.15,26.606,26.104000000000003,25.50425,0.0,515.3994372921818,1.0,64.0,1.0,400.0
26.31,26.568,26.1315,25.548250000000003,0.0,515.3994372921818,1.0,64.0,1.0,400.0
27.35,26.608999999999998,26.223000000000003,25.625,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.45,26.665,26.323500000000003,25.70025,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.01,26.684000000000005,26.3935,25.763749999999998,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.02,26.708,26.468,25.826999999999998,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.08,26.737000000000002,26.5325,25.896499999999996,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.21,26.8,26.6135,25.967000000000002,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.61,26.923000000000002,26.721999999999998,26.042250000000003,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.57,27.076,26.828999999999997,26.11925,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.55,27.216,26.911,26.19425,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.78,27.363,26.965500000000002,26.27,1.0,206.15977491687272,1.0,64.0,1.0,400.0
28.13,27.441000000000003,27.025,26.345750000000002,1.0,206.15977491687272,1.0,64.0,1.0,400.0
28.8,27.576,27.1205,26.43725,1.0,206.15977491687272,1.0,64.0,1.0,400.0
29.0,27.775,27.2295,26.528250000000003,1.0,206.15977491687272,1.0,64.0,1.0,400.0
28.94,27.967000000000002,27.3375,26.621750000000002,1.0,206.15977491687272,1.0,64.0,1.0,400.0
28.69,28.128000000000004,27.432499999999997,26.706500000000005,1.0,206.15977491687272,1.0,64.0,1.0,400.0
28.45,28.252,27.526,26.775,1.0,206.15977491687272,1.0,64.0,1.0,400.0
28.94,28.384999999999998,27.653999999999996,26.859499999999997,1.0,206.15977491687272,1.0,64.0,1.0,400.0
27.94,28.422000000000004,27.749000000000002,26.917250000000003,0.0,1401.9233910072203,1.0,64.0,1.0,400.0
27.59,28.426,27.820999999999998,26.9625,0.0,1401.9233910072203,0.0,64.0,1.0,400.0
27.68,28.416000000000004,27.889499999999998,27.0105,0.0,1401.9233910072203,0.0,64.0,1.0,400.0
27.93,28.396000000000004,27.9185,27.070750000000004,0.0,1401.9233910072203,1.0,64.0,1.0,400.0
27.98,28.314,27.945,27.13425,0.0,1401.9233910072203,1.0,64.0,1.0,400.0
27.88,28.201999999999998,27.9885,27.190999999999995,0.0,1401.9233910072203,0.0,64.0,1.0,400.0
27.72,28.080000000000002,28.023500000000002,27.245749999999997,0.0,1401.9233910072203,0.0,64.0,1.0,400.0
27.38,27.949,28.0385,27.285500000000003,0.0,1401.9233910072203,0.0,64.0,1.0,400.0
27.36,27.839999999999996,28.046,27.32975,0.0,1401.9233910072203,0.0,64.0,1.0,400.0
27.45,27.690999999999995,28.038,27.380000000000003,0.0,1401.9233910072203,0.0,64.0,1.0,400.0
27.49,27.645999999999997,28.034,27.4315,0.0,1401.9233910072203,0.0,64.0,1.0,400.0
27.83,27.669999999999998,28.048000000000002,27.4795,1.0,1401.9233910072203,0.0,64.0,1.0,400.0
28.28,27.729999999999997,28.072999999999997,27.51925,1.0,1401.9233910072203,1.0,64.0,1.0,400.0
28.18,27.755000000000003,28.075499999999998,27.55025,1.0,1401.9233910072203,1.0,64.0,1.0,400.0
28.05,27.762,28.038,27.579250000000002,1.0,1401.9233910072203,1.0,64.0,1.0,400.0
27.48,27.721999999999998,27.962,27.59575,0.0,1401.9233910072203,0.0,64.0,0.0,400.0
27.41,27.690999999999995,27.885499999999997,27.6115,0.0,1401.9233910072203,0.0,64.0,0.0,400.0
28.04,27.756999999999998,27.853,27.64275,1.0,560.7693564028881,1.0,25.6,1.0,160.0
28.18,27.839,27.839499999999997,27.68275,1.0,560.7693564028881,1.0,25.6,1.0,160.0
28.27,27.921,27.806,27.73,1.0,560.7693564028881,1.0,25.6,1.0,160.0
28.87,28.058999999999997,27.8525,27.80075,1.0,560.7693564028881,1.0,25.6,1.0,160.0
28.7,28.145999999999997,27.908000000000005,27.8645,1.0,560.7693564028881,1.0,25.6,1.0,160.0
28.93,28.211000000000002,27.970499999999998,27.93,1.0,560.7693564028881,1.0,25.6,1.0,160.0
29.07,28.3,28.027500000000003,27.973000000000003,1.0,560.7693564028881,1.0,25.6,1.0,160.0
29.22,28.417,28.089499999999997,28.01725,1.0,560.7693564028881,1.0,25.6,1.0,160.0
29.2,28.589,28.1555,28.072000000000003,1.0,560.7693564028881,1.0,25.6,1.0,160.0
29.23,28.771000000000004,28.231,28.127249999999997,1.0,560.7693564028881,1.0,25.6,1.0,160.0
28.99,28.866000000000003,28.311500000000002,28.175,1.0,560.7693564028881,1.0,25.6,1.0,160.0
28.94,28.942,28.390499999999996,28.21825,0.0,560.7693564028881,1.0,25.6,1.0,160.0
28.99,29.014,28.4675,28.25275,0.0,560.7693564028881,1.0,25.6,1.0,160.0
29.08,29.035000000000004,28.547000000000004,28.290499999999998,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.26,29.091,28.6185,28.33325,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.45,29.143,28.677000000000003,28.375,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.55,29.191000000000003,28.7455,28.410499999999995,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.55,29.224,28.8205,28.429250000000003,1.0,224.30774256115524,1.0,25.6,1.0,160.0
30.27,29.331,28.96,28.461000000000002,1.0,224.30774256115524,1.0,25.6,1.0,160.0
30.0,29.407999999999998,29.089499999999997,28.4875,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.84,29.492999999999995,29.179499999999997,28.516249999999996,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.64,29.563,29.252499999999998,28.546000000000003,1.0,224.30774256115524,1.0,25.6,1.0,160.0
29.56,29.620000000000005,29.317,28.561500000000002,0.0,224.30774256115524,1.0,25.6,1.0,160.0
29.77,29.689,29.362000000000002,28.60725,1.0,224.30774256115524,1.0,25.6,1.0,160.0
