Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,92.3,92.54,91.91,92.07,3005356.0,0.0,1.0,86.165233466096,86.389281743798,85.801155014831,85.950520533299,3005356.0
2017-12-27,92.49,92.75,91.93,92.1,4276664.0,0.0,1.0,86.342605019276,86.585323986787,85.819825704639,85.978526568011,4276664.0
2017-12-26,92.35,92.77,92.15,92.48,3431941.0,0.0,1.0,86.211910190617,86.603994676595,86.025203292532,86.333269674372,3431941.0
2017-12-22,91.77,92.4318,91.72,92.13,4919306.0,0.0,1.0,85.670460186171,86.288273311934,85.62378346165,86.006532602724,4919306.0
2017-12-21,91.86,92.08,91.53,91.67,4432592.0,0.0,1.0,85.75447829031,85.959855878203,85.44641190847,85.577106737129,4432592.0
2017-12-20,91.87,91.97,91.35,91.53,6937739.0,0.0,1.0,85.763813635214,85.857167084256,85.278375700194,85.44641190847,6937739.0
2017-12-19,91.96,92.1306,91.58,91.68,5639938.0,0.0,1.0,85.847831739352,86.007092723418,85.493088632991,85.586442082033,5639938.0
2017-12-18,91.89,93.14,91.81,91.88,7405205.0,0.0,1.0,85.782484325022,86.949402438052,85.707801565788,85.773148980118,7405205.0
2017-12-15,91.6,92.27,91.48,91.89,15919915.0,0.0,1.0,85.511759322799,86.137227431383,85.399735183949,85.782484325022,15919915.0
2017-12-14,90.97,91.43,90.9,91.0,5853524.0,0.0,1.0,84.923632593833,85.353058459427,84.858285179503,84.951638628545,5853524.0
2017-12-13,90.02,91.41,89.965,90.88,7140717.0,0.0,1.0,84.03677482793,85.334387769619,83.985430430957,84.839614489694,7140717.0
2017-12-12,90.45,90.51,89.82,89.85,6558871.0,0.0,1.0,84.438194658812,84.494206728238,83.850067929846,83.878073964558,6558871.0
2017-12-11,90.23,90.33,89.7499,90.23,4855962.0,0.0,1.0,84.232817070919,84.326170519962,83.784627162067,84.232817070919,4855962.0
2017-12-08,90.02,90.37,89.58,90.37,5883357.0,0.0,1.0,84.03677482793,84.363511899578,83.626019652144,84.363511899578,5883357.0
2017-12-07,91.05,91.065,89.89,90.1,7274135.0,0.0,1.0,84.998315353067,85.012318370423,83.915415344175,84.111457587164,7274135.0
2017-12-06,91.5,91.78,91.07,91.25,6737358.0,0.0,1.0,85.418405873757,85.679795531076,85.016986042875,85.185022251151,6737358.0
2017-12-05,91.52,91.84,91.07,91.4,8683018.0,0.0,1.0,85.437076563566,85.735807600501,85.016986042875,85.325052424715,8683018.0
2017-12-04,90.17,91.91,89.83,91.41,9003692.0,0.0,1.0,84.176805001494,85.801155014831,83.85940327475,85.334387769619,9003692.0
2017-12-01,90.18,90.53,89.12,90.36,7953123.0,0.0,1.0,84.186140346398,84.512877418046,83.196593786549,84.354176554674,7953123.0
2017-11-30,89.35,90.37,89.21,89.99,9789833.0,0.0,1.0,83.411306719346,84.363511899578,83.280611890687,84.008768793218,9789833.0
2017-11-29,89.4,89.81,89.03,89.38,5158359.0,0.0,1.0,83.457983443868,83.840732584941,83.112575682411,83.439312754059,5158359.0
2017-11-28,89.48,89.52,88.91,89.4,4841259.0,0.0,1.0,83.532666203101,83.570007582718,83.00055154356,83.457983443868,4841259.0
2017-11-27,88.33,89.095,88.15,88.96,6199673.0,0.0,1.0,82.459101539114,83.173255424288,82.291065330838,83.047228268081,6199673.0
2017-11-24,88.59,88.96,88.42,88.45,2196665.0,0.0,1.0,82.701820506625,83.047228268081,82.543119643253,82.571125677965,2196665.0
2017-11-22,88.5,88.91,88.06,88.33,6006641.0,0.0,1.0,82.617802402486,83.00055154356,82.2070472267,82.459101539114,6006641.0
2017-11-21,88.18,89.21,88.02,88.72,6195791.0,0.0,1.0,82.319071365551,83.280611890687,82.169705847083,82.82317999038,6195791.0
2017-11-20,88.43,88.555,87.71,88.27,4926181.0,0.0,1.0,82.552454988157,82.66914679946,81.880310155052,82.403089469689,4926181.0
2017-11-17,88.95,89.09,88.08,88.43,5941753.0,0.0,1.0,83.037892923177,83.168587751836,82.225717916508,82.552454988157,5941753.0
2017-11-16,89.84,89.9,88.771,89.25,7094883.0,0.0,1.0,83.868738619654,83.924750689079,82.870790249391,83.317953270304,7094883.0
2017-11-15,88.73,88.94,88.0,88.23,6688123.0,0.0,1.0,82.832515335284,83.028557578273,82.151035157275,82.365748090072,6688123.0
2017-11-14,88.74,89.045,88.47,88.87,5035525.0,0.0,1.0,82.841850680188,83.126578699767,82.589796367774,82.963210163943,5035525.0
2017-11-13,88.67,89.41,88.63,89.0,6873475.0,0.0,1.0,82.776503265858,83.467318788772,82.739161886241,83.084569647698,6873475.0
2017-11-10,87.99,88.39,87.78,88.16,7227298.0,0.0,1.0,82.14169981237,82.51511360854,81.945657569381,82.300400675742,7227298.0
2017-11-09,87.35,88.1698,87.3,87.78,5266358.0,0.0,1.0,81.544237738499,82.309549313749,81.497561013978,81.945657569381,5266358.0
2017-11-08,86.99,87.6,86.8,87.58,6867447.0,0.0,1.0,81.208165321947,81.777621361105,81.030793768766,81.758950671297,6867447.0
2017-11-07,86.04,87.0,85.42,86.98,6875128.0,0.0,1.0,80.321307556044,81.217500666851,79.742516171982,81.198829977043,6875128.0
2017-11-06,86.55,86.64,86.03,86.05,5186619.0,0.0,1.0,80.79741014616,80.881428250299,80.31197221114,80.330642900949,5186619.0
2017-11-03,86.78,87.16,86.46,86.58,5106355.0,0.0,1.0,81.012123078958,81.366866185319,80.713392042022,80.825416180873,5106355.0
2017-11-02,86.78,87.04,86.23,86.51,5021150.0,0.0,1.0,81.012123078958,81.254842046468,80.498679109225,80.760068766543,5021150.0
2017-11-01,86.33,87.14,86.11,86.89,4884052.0,0.0,1.0,80.592032558267,81.34819549551,80.386654970374,81.114811872904,4884052.0
2017-10-31,86.49,86.5,85.72,86.34,7118956.0,0.0,1.0,80.741398076735,80.750733421639,80.022576519109,80.601367903171,7118956.0
2017-10-30,86.91,87.08,86.16,86.27,5386886.0,0.0,1.0,81.133482562713,81.292183426085,80.433331694895,80.536020488842,5386886.0
2017-10-27,87.53,87.53,86.45,87.04,7433806.0,0.0,1.0,81.712273946776,81.712273946776,80.704056697118,81.254842046468,7433806.0
2017-10-26,87.19,87.77,87.1,87.5,6233831.0,0.0,1.0,81.394872220032,81.936322224477,81.310854115893,81.684267912063,6233831.0
2017-10-25,86.9,87.11,86.28,86.84,7183452.0,0.0,1.0,81.124147217809,81.320189460798,80.545355833746,81.068135148383,7183452.0
2017-10-24,87.37,87.42,86.78,86.98,11518538.0,0.0,1.0,81.562908428308,81.609585152829,81.012123078958,81.198829977043,11518538.0
2017-10-23,88.63,88.86,86.87,87.3,13357905.0,0.0,1.0,82.739161886241,82.953874819039,81.096141183096,81.497561013978,13357905.0
2017-10-20,89.72,89.96,87.59,88.25,19997800.0,0.0,1.0,83.756714480803,83.980762758505,81.768286016201,82.384418779881,19997800.0
2017-10-19,91.7,91.99,91.14,91.59,8583322.0,0.6896,1.0,85.605112771842,85.875837774065,85.082333457205,85.502423977895,8583322.0
2017-10-18,92.78,92.95,92.01,92.77,7399662.0,0.0,1.0,85.966073722352,86.123588623546,85.252623875766,85.956808139928,7399662.0
2017-10-17,93.04,93.09,92.4,92.8,5315962.0,0.0,1.0,86.206978865355,86.253306777471,85.61398159027,85.984604887198,5315962.0
2017-10-16,92.97,93.37,92.71,93.14,4159101.0,0.0,1.0,86.142119788392,86.51274308532,85.901214645389,86.299634689586,4159101.0
2017-10-13,92.7,93.51,92.59,93.04,6956386.0,0.0,1.0,85.891949062966,86.642461239244,85.790027656311,86.206978865355,6956386.0
2017-10-12,91.41,92.305,91.39,92.15,5984905.0,0.0,1.0,84.696688930375,85.52595855725,84.678157765528,85.382342029691,5984905.0
2017-10-11,91.09,91.73,91.07,91.46,7115398.0,0.0,1.0,84.400190292833,84.993187567917,84.381659127986,84.743016842491,7115398.0
2017-10-10,92.37,93.04,89.86,91.62,17125454.0,0.0,1.0,85.586184843001,86.206978865355,83.26052365478,84.891266161262,17125454.0
2017-10-09,92.4,92.62,91.93,92.12,5148962.0,0.0,1.0,85.61398159027,85.817824403581,85.178499216381,85.354545282421,5148962.0
2017-10-06,92.0,92.35,91.88,92.33,5241902.0,0.0,1.0,85.243358293343,85.567653678154,85.132171304265,85.549122513308,5241902.0
2017-10-05,92.49,92.65,91.94,92.03,6912759.0,0.0,1.0,85.697371832079,85.84562115085,85.187764798804,85.271155040612,6912759.0
2017-10-04,92.12,92.795,92.02,92.42,6140711.0,0.0,1.0,85.354545282421,85.979972095986,85.261889458189,85.632512755117,6140711.0
2017-10-03,91.96,92.34,91.56,92.12,5909908.0,0.0,1.0,85.20629596365,85.558388095731,84.835672666723,85.354545282421,5909908.0
2017-10-02,91.26,92.4,91.24,91.77,7302440.0,0.0,1.0,84.557705194027,85.61398159027,84.53917402918,85.03024989761,7302440.0
2017-09-29,90.97,91.43,90.7,90.98,6634464.0,0.0,1.0,84.289003303754,84.715220095221,84.038832578328,84.298268886178,6634464.0
2017-09-28,90.86,91.118,90.63,90.89,4999771.0,0.0,1.0,84.187081897099,84.426133923618,83.973973501366,84.214878644369,4999771.0
2017-09-27,92.52,92.52,90.34,90.87,9631240.0,0.0,1.0,85.725168579349,85.725168579349,83.705271611093,84.196347479522,9631240.0
2017-09-26,92.82,92.845,92.2,92.65,4885203.0,0.0,1.0,86.003136052044,86.026300008102,85.428669941807,85.84562115085,4885203.0
2017-09-25,92.43,93.09,92.33,92.72,6436162.0,0.0,1.0,85.64177833754,86.253306777471,85.549122513308,85.910480227813,6436162.0
2017-09-22,92.55,93.0,92.08,92.24,6837699.0,0.0,1.0,85.752965326618,86.169916535662,85.317482952728,85.465732271499,6837699.0
